Instancia,Algoritmo,Run,Tiempo_s
r112,QLEARNING,5,5.5057
r112,QLEARNING,6,6.5133
r112,QLEARNING,7,5.3977
r112,QLEARNING,8,5.5446
r112,QLEARNING,9,5.7099
r112,QLEARNING,10,5.6094
r201,CLASSIC,1,4.9719
r201,CLASSIC,2,4.8775
r201,CLASSIC,3,4.8489
r201,CLASSIC,4,4.9298
r201,CLASSIC,5,4.82
r201,CLASSIC,6,5.4533
r201,CLASSIC,7,4.867
r201,CLASSIC,8,4.8299
r201,CLASSIC,9,4.9586
r201,CLASSIC,10,4.8587
r201,QLEARNING,1,3.7576
r201,QLEARNING,2,3.8407
r201,QLEARNING,3,4.0301
r201,QLEARNING,4,3.953
r201,QLEARNING,5,3.8892
r201,QLEARNING,6,3.8752
r201,QLEARNING,7,4.1037
r201,QLEARNING,8,4.2584
r201,QLEARNING,9,3.8871
r201,QLEARNING,10,3.9097
r202,CLASSIC,1,5.837
r202,CLASSIC,2,5.7458
r202,CLASSIC,3,5.6924
r202,CLASSIC,4,5.484
r202,CLASSIC,5,5.5159
r202,CLASSIC,6,5.5843
r202,CLASSIC,7,5.7761
r202,CLASSIC,8,5.5091
r202,CLASSIC,9,5.7711
r202,CLASSIC,10,5.6511
r202,QLEARNING,1,4.9422
r202,QLEARNING,2,4.6308
r202,QLEARNING,3,4.7183
r202,QLEARNING,4,5.0581
r202,QLEARNING,5,4.5752
r202,QLEARNING,6,4.7408
r202,QLEARNING,7,4.6276
r202,QLEARNING,8,4.806
r202,QLEARNING,9,4.5474
r202,QLEARNING,10,4.9577
r203,CLASSIC,1,5.88
r203,CLASSIC,2,6.1474
r203,CLASSIC,3,5.7917
r203,CLASSIC,4,6.0863
r203,CLASSIC,5,6.0796
r203,CLASSIC,6,5.8477
r203,CLASSIC,7,5.8775
r203,CLASSIC,8,5.9791
r203,CLASSIC,9,5.9304
r203,CLASSIC,10,6.0041
r203,QLEARNING,1,4.9146
r203,QLEARNING,2,4.9268
r203,QLEARNING,3,5.3256
r203,QLEARNING,4,4.9059
r203,QLEARNING,5,5.0
r203,QLEARNING,6,5.047
r203,QLEARNING,7,5.2504
r203,QLEARNING,8,5.3264
r203,QLEARNING,9,5.0017
r203,QLEARNING,10,5.7182
r204,CLASSIC,1,6.1064
r204,CLASSIC,2,6.0878
r204,CLASSIC,3,5.9597
r204,CLASSIC,4,6.1752
r204,CLASSIC,5,6.0854
r204,CLASSIC,6,6.0937
r204,CLASSIC,7,6.1193
r204,CLASSIC,8,6.1553
r204,CLASSIC,9,6.0811
r204,CLASSIC,10,6.2765
r204,QLEARNING,1,5.9927
r204,QLEARNING,2,5.2557
r204,QLEARNING,3,5.4096
r204,QLEARNING,4,6.3218
r204,QLEARNING,5,5.4551
r204,QLEARNING,6,6.324
r204,QLEARNING,7,5.4806
r204,QLEARNING,8,5.211
r204,QLEARNING,9,5.7111
r204,QLEARNING,10,5.392
r205,CLASSIC,1,4.8951
r205,CLASSIC,2,4.776
r205,CLASSIC,3,5.0166
r205,CLASSIC,4,4.8261
r205,CLASSIC,5,4.7627
r205,CLASSIC,6,4.7911
r205,CLASSIC,7,4.9077
r205,CLASSIC,8,4.758
r205,CLASSIC,9,4.7136
r205,CLASSIC,10,4.6451
r205,QLEARNING,1,3.9519
r205,QLEARNING,2,4.0045
r205,QLEARNING,3,3.8629
r205,QLEARNING,4,3.8872
r205,QLEARNING,5,4.1264
r205,QLEARNING,6,3.9781
r205,QLEARNING,7,3.9734
r205,QLEARNING,8,4.1589
r205,QLEARNING,9,3.9382
r205,QLEARNING,10,4.0222
r206,CLASSIC,1,5.6641
