iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
116,0,13,1369.21,13,1410.25,3,2,9,265.786,0.197862,0.172778,0.327344,0.302015,0.162161,0.216802,0.440683,0.180354
117,0,12,1429.87,12,1429.87,2,2,33,265.653,0.199663,0.174346,0.330357,0.295634,0.165351,0.22108,0.429663,0.183906
118,0,12,1429.87,12,1429.87,3,1,0,265.52,0.16788,0.146589,0.436938,0.248593,0.133075,0.177936,0.540978,0.148011
119,0,12,1424.26,12,1424.26,2,1,33,265.388,0.174862,0.152681,0.455198,0.217259,0.13592,0.160203,0.552699,0.151178
120,0,12,1424.26,12,1424.26,3,3,0,265.255,0.139379,0.121696,0.565746,0.17318,0.121236,0.250784,0.49313,0.13485
121,0,12,1424.26,12,1424.26,3,2,0,265.122,0.142196,0.124152,0.577341,0.156311,0.122909,0.25428,0.500072,0.122739
122,0,12,1424.26,12,1424.26,1,2,0,264.99,0.144532,0.126188,0.586991,0.142289,0.137418,0.284341,0.441012,0.137229
123,0,12,1424.26,12,1424.26,2,1,0,264.857,0.146049,0.116852,0.593318,0.143782,0.151256,0.313019,0.384676,0.151048
124,0,12,1424.26,12,1436.86,3,2,9,264.725,0.167291,0.133841,0.534174,0.164694,0.160668,0.270198,0.408688,0.160446
125,0,12,1424.26,12,1434.66,3,1,13,264.592,0.165415,0.132334,0.528305,0.173945,0.16351,0.275007,0.398199,0.163285
126,0,12,1424.26,12,1434.66,3,2,0,264.46,0.161139,0.128908,0.514768,0.195186,0.160009,0.290459,0.389743,0.159789
127,0,12,1424.26,12,1434.66,3,0,0,264.328,0.165318,0.132245,0.528241,0.174197,0.173775,0.315484,0.337206,0.173535
128,0,12,1424.26,12,1434.66,3,1,0,264.196,0.168765,0.134996,0.539381,0.156858,0.152401,0.323652,0.345941,0.178007
129,0,12,1424.26,12,1434.66,2,1,0,264.064,0.17162,0.137274,0.548634,0.142471,0.162625,0.27821,0.36921,0.189955
130,0,12,1424.26,12,1434.66,0,2,0,263.932,0.194027,0.15519,0.489718,0.161066,0.171031,0.240833,0.388357,0.199779
131,0,12,1424.26,12,1434.66,1,1,0,263.8,0.173158,0.159185,0.502443,0.165214,0.185418,0.26111,0.336881,0.216591
132,0,12,1424.26,12,1434.66,3,0,0,263.668,0.176236,0.144132,0.511483,0.168149,0.194321,0.225582,0.353099,0.226998
133,0,12,1424.26,12,1431.3,3,3,13,263.536,0.179652,0.14692,0.521508,0.15192,0.170617,0.23221,0.363506,0.233668
134,0,12,1385.97,12,1385.97,3,2,33,263.404,0.175069,0.143166,0.508313,0.173452,0.166826,0.227065,0.355483,0.250626
135,0,12,1385.97,12,1385.97,2,2,0,263.272,0.155154,0.126875,0.450585,0.267386,0.13818,0.188086,0.466127,0.207607
136,0,12,1384.39,12,1384.39,2,1,33,263.141,0.171106,0.139914,0.394071,0.29491,0.152675,0.207829,0.410094,0.229403
