Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,r203,2,3.0,952.381,13572,6.622
CLASSIC,r203,3,3.0,950.438,12745,5.949
CLASSIC,r203,4,3.0,971.52,1492,6.266
CLASSIC,r203,5,3.0,978.831,7995,5.941
CLASSIC,r203,6,3.0,941.642,4896,6.739
CLASSIC,r203,7,3.0,941.642,4514,6.641
CLASSIC,r203,8,3.0,946.624,8324,6.721
CLASSIC,r203,9,3.0,946.624,8552,6.628
CLASSIC,r204,1,3.0,771.863,3291,6.178
CLASSIC,r204,10,3.0,757.305,640,6.931
CLASSIC,r204,2,3.0,749.417,11992,6.193
CLASSIC,r204,3,3.0,763.068,16236,6.487
CLASSIC,r204,4,3.0,758.577,10681,6.588
CLASSIC,r204,5,3.0,759.42,23347,6.857
CLASSIC,r204,6,3.0,760.018,6548,6.793
CLASSIC,r204,7,3.0,749.417,6685,6.167
CLASSIC,r204,8,3.0,749.417,11068,6.478
CLASSIC,r204,9,3.0,762.706,5984,6.597
CLASSIC,r205,1,3.0,1025.16,6620,5.188
CLASSIC,r205,10,3.0,1028.67,21863,5.323
CLASSIC,r205,2,3.0,1010.81,2299,5.366
CLASSIC,r205,3,3.0,1028.32,6746,5.123
CLASSIC,r205,4,3.0,1029.7,8530,5.158
CLASSIC,r205,5,3.0,1025.66,1820,5.645
CLASSIC,r205,6,3.0,1016.89,9587,5.395
CLASSIC,r205,7,3.0,1029.03,17684,5.134
CLASSIC,r205,8,3.0,1032.22,7704,5.142
CLASSIC,r205,9,3.0,1030.84,4955,5.285
CLASSIC,r206,1,3.0,927.733,4728,5.613
CLASSIC,r206,10,3.0,939.105,6622,5.555
CLASSIC,r206,2,3.0,932.104,4690,5.502
CLASSIC,r206,3,3.0,913.184,3539,5.722
CLASSIC,r206,4,3.0,913.357,5081,5.924
CLASSIC,r206,5,3.0,912.931,3840,6.117
CLASSIC,r206,6,3.0,931.677,8723,5.637
CLASSIC,r206,7,3.0,937.966,11643,6.165
CLASSIC,r206,8,3.0,926.756,16576,6.019
CLASSIC,r206,9,3.0,906.142,4392,5.812
CLASSIC,r207,1,3.0,831.961,5248,6.084
CLASSIC,r207,10,3.0,832.999,6881,5.966
CLASSIC,r207,2,3.0,859.797,12738,6.947
CLASSIC,r207,3,3.0,820.109,2662,6.049
CLASSIC,r207,4,3.0,822.722,1237,6.217
CLASSIC,r207,5,3.0,814.987,4013,6.265
CLASSIC,r207,6,3.0,814.987,1896,6.714
CLASSIC,r207,7,3.0,833.465,544,6.859
CLASSIC,r207,8,3.0,821.62,3930,6.551
CLASSIC,r207,9,3.0,826.634,2878,6.418
CLASSIC,r208,1,2.0,735.202,7090,6.642
CLASSIC,r208,10,2.0,726.823,8536,6.102
CLASSIC,r208,2,2.0,749.69,1031,6.327
CLASSIC,r208,3,2.0,732.153,2757,5.904
CLASSIC,r208,4,2.0,744.347,875,6.653
CLASSIC,r208,5,3.0,707.017,12283,6.207
CLASSIC,r208,6,3.0,720.101,6868,5.91
CLASSIC,r208,7,2.0,733.182,8359,5.981
CLASSIC,r208,8,2.0,727.687,5215,6.162
CLASSIC,r208,9,3.0,706.864,16832,5.961
CLASSIC,r209,1,3.0,928.561,6310,5.858
CLASSIC,r209,10,3.0,929.504,5688,5.939
CLASSIC,r209,2,3.0,916.568,4881,5.68
CLASSIC,r209,3,3.0,927.872,8578,5.813
CLASSIC,r209,4,3.0,944.362,6764,5.948
CLASSIC,r209,5,3.0,929.237,3406,5.965
CLASSIC,r209,6,3.0,917.336,8875,5.732
CLASSIC,r209,7,3.0,922.924,2233,5.866
CLASSIC,r209,8,3.0,938.345,6486,5.845
CLASSIC,r209,9,3.0,935.481,369,5.721
CLASSIC,r210,1,3.0,967.08,3447,5.673
CLASSIC,r210,10,3.0,967.36,2894,5.836
CLASSIC,r210,2,3.0,956.074,4322,6.434
CLASSIC,r210,3,3.0,958.566,8499,5.948
CLASSIC,r210,4,3.0,959.843,6806,6.067
CLASSIC,r210,5,3.0,965.111,8334,6.257
CLASSIC,r210,6,3.0,963.225,3746,6.494
CLASSIC,r210,7,3.0,966.873,10131,6.534
CLASSIC,r210,8,3.0,968.472,7134,5.781
CLASSIC,r210,9,3.0,971.801,8722,6.242
CLASSIC,r211,1,3.0,772.069,21772,6.42
CLASSIC,r211,10,3.0,782.083,6262,6.423
CLASSIC,r211,2,3.0,815.466,2257,5.988
CLASSIC,r211,3,3.0,773.562,6450,6.109
CLASSIC,r211,4,3.0,767.818,5200,6.566
CLASSIC,r211,5,3.0,799.082,8354,6.319
CLASSIC,r211,6,3.0,812.094,5071,6.217
CLASSIC,r211,7,3.0,772.069,7618,5.927
CLASSIC,r211,8,3.0,788.752,6472,6.084
CLASSIC,r211,9,3.0,792.436,264,6.212
CLASSIC,rc101,1,15.0,1631.34,4275,5.85
CLASSIC,rc101,10,15.0,1632.49,9413,6.015
CLASSIC,rc101,2,15.0,1631.34,10001,5.32
CLASSIC,rc101,3,15.0,1631.34,5461,5.997
CLASSIC,rc101,4,15.0,1642.86,4128,5.476
CLASSIC,rc101,5,15.0,1637.54,3987,5.655
CLASSIC,rc101,6,15.0,1631.34,8692,5.49
CLASSIC,rc101,7,15.0,1641.2,12511,5.756
CLASSIC,rc101,8,15.0,1645.52,2408,5.921
CLASSIC,rc101,9,15.0,1639.3,6511,6.049
CLASSIC,rc102,1,13.0,1495.59,9223,7.303
CLASSIC,rc102,10,13.0,1509.88,7717,6.458
CLASSIC,rc102,2,13.0,1488.37,9843,7.116
CLASSIC,rc102,3,13.0,1484.97,14115,6.819
CLASSIC,rc102,4,13.0,1493.09,19602,7.009
CLASSIC,rc102,5,13.0,1488.37,14635,7.083
CLASSIC,rc102,6,13.0,1484.97,17296,6.443
CLASSIC,rc102,7,14.0,1468.76,5959,7.033
CLASSIC,rc102,8,13.0,1486.52,18913,6.267
CLASSIC,rc102,9,13.0,1492.99,9325,6.363
CLASSIC,rc103,1,11.0,1312.2,8486,6.867
CLASSIC,rc103,10,11.0,1274.16,16876,7.367
CLASSIC,rc103,2,11.0,1268.67,11981,7.085
CLASSIC,rc103,3,11.0,1265.18,14156,7.351
CLASSIC,rc103,4,12.0,1283.66,13063,7.006
