iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
166,12,1514.54,13,1926.01,1,1,13,14065.7,3.54008e-05,0.99967,9.55282e-05,0.000199178,3.41948e-05,0.999283,0.000615658,6.69402e-05
167,12,1514.54,13,1999.05,1,1,9,14058.6,3.31448e-05,0.999691,8.9458e-05,0.000186549,3.20381e-05,0.999328,0.000577161,6.27266e-05
168,12,1514.54,13,2011.13,1,1,9,14051.6,3.37504e-05,0.999685,9.11107e-05,0.000190023,3.2645e-05,0.999315,0.000588434,6.39234e-05
169,12,1514.54,13,2029.65,1,1,9,14044.6,3.43535e-05,0.999679,9.27572e-05,0.000193485,3.32497e-05,0.999302,0.000599682,6.51164e-05
170,12,1514.54,13,2108.69,1,1,9,14037.5,3.49538e-05,0.999674,9.43968e-05,0.000196934,3.38521e-05,0.999289,0.0006109,6.6305e-05
171,12,1514.54,13,1854.98,1,1,13,14030.5,3.5551e-05,0.999668,9.60288e-05,0.000200369,3.44519e-05,0.999276,0.000622083,6.74888e-05
172,12,1514.54,13,1928.87,1,1,9,14023.5,3.32736e-05,0.999689,8.98951e-05,0.000187598,3.22655e-05,0.999322,0.000582942,6.32144e-05
173,12,1514.54,13,1990.66,1,1,9,14016.5,3.38727e-05,0.999684,9.15318e-05,0.000191042,3.2866e-05,0.999309,0.000594135,6.43995e-05
174,12,1514.54,14,2005.71,1,1,9,14009.5,3.44691e-05,0.999678,9.31619e-05,0.000194473,3.34641e-05,0.999296,0.000605298,6.55804e-05
175,12,1514.54,14,2123.66,1,1,9,14002.5,3.50625e-05,0.999672,9.47847e-05,0.000197889,3.40597e-05,0.999283,0.000616428,6.67565e-05
176,12,1514.54,14,2098,1,1,13,13995.5,3.56528e-05,0.999667,9.63996e-05,0.00020129,3.46525e-05,0.99927,0.00062752,6.79275e-05
177,12,1514.54,13,1787.58,1,1,13,13988.5,3.3358e-05,0.999688,9.02129e-05,0.0001884,3.2441e-05,0.999316,0.000587812,6.36009e-05
178,12,1514.54,13,1972.75,1,1,9,13981.5,3.12504e-05,0.999708,8.45298e-05,0.000176557,3.04085e-05,0.999359,0.000551304,5.96243e-05
179,12,1514.54,14,2063.14,1,1,9,13974.5,3.18455e-05,0.999702,8.61566e-05,0.000179982,3.10039e-05,0.999346,0.000562424,6.07999e-05
180,12,1514.54,14,1973.83,1,1,13,13967.5,3.24386e-05,0.999696,8.77786e-05,0.000183397,3.15976e-05,0.999333,0.000573527,6.19725e-05
181,12,1514.54,14,2031.13,1,1,9,13960.5,3.04009e-05,0.999715,8.22811e-05,0.000171936,2.96286e-05,0.999374,0.0005381,5.81186e-05
