iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,epsilon
398,15,1477.47,15,1532.42,0,2,0,149.124,4.09755
399,15,1477.47,15,1532.42,2,3,-2.16068,149.094,4.0955
400,15,1477.47,15,1561.92,1,1,-1.92509,149.064,4.09345
401,15,1477.47,15,1561.92,0,0,-10,149.035,4.0914
402,15,1477.47,15,1561.92,3,1,0,149.005,4.08936
403,15,1477.47,15,1561.92,1,3,-4.91368,148.975,4.08731
404,15,1477.47,15,1561.92,1,1,-5.29912,148.945,4.08527
405,15,1477.47,15,1561.92,4,3,0,148.915,4.08323
406,15,1477.47,15,1561.92,0,2,0,148.886,4.08118
407,15,1477.47,15,1561.92,3,3,-10,148.856,4.07914
408,15,1477.47,15,1615.48,1,2,-3.42863,148.826,4.0771
409,15,1477.47,15,1607.17,2,2,0.514079,148.796,4.07507
410,15,1477.47,15,1625.06,1,2,-1.11299,148.767,4.07303
411,15,1477.47,15,1625.06,2,1,0,148.737,4.07099
412,15,1477.47,15,1625.06,4,3,-10,148.707,4.06896
413,15,1477.47,15,1625.06,3,1,-10,148.677,4.06692
414,15,1477.47,15,1625.06,4,3,-10,148.648,4.06489
415,15,1477.47,15,1617.56,4,3,0.46128,148.618,4.06286
