iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,d_weight_4,r_weight_0,r_weight_1,r_weight_2,r_weight_3
110,20,1764.41,20,1830.44,0,0,5,185.109,0.179624,0.201026,0.182734,0.208328,0.228288,0.222947,0.290724,0.288432,0.197898
111,20,1764.41,20,1877.48,1,1,2,185.072,0.182951,0.200208,0.181982,0.207484,0.227374,0.22692,0.289252,0.28697,0.196858
112,20,1764.41,20,1877.48,0,2,2,185.035,0.182906,0.200368,0.181936,0.207446,0.227343,0.227318,0.287984,0.287508,0.19719
113,20,1764.41,20,1860.55,0,3,5,184.998,0.183723,0.200166,0.181743,0.20724,0.227127,0.227706,0.288509,0.286273,0.197512
114,20,1764.41,20,1829.13,0,1,5,184.961,0.186903,0.199384,0.181025,0.206434,0.226254,0.226395,0.286883,0.284658,0.202063
115,20,1764.41,20,1785.97,2,2,5,184.924,0.189967,0.19863,0.180332,0.205658,0.225414,0.225753,0.288885,0.283883,0.201479
116,20,1764.41,20,1771.34,3,2,5,184.887,0.189214,0.197847,0.183549,0.20485,0.224539,0.225069,0.288044,0.28603,0.200856
117,20,1761.62,20,1761.62,0,3,10,184.85,0.18862,0.197231,0.18297,0.207326,0.223853,0.224414,0.287242,0.288082,0.200261
118,20,1761.62,20,1761.62,0,0,0,184.813,0.195695,0.195508,0.181365,0.20552,0.221912,0.221922,0.284088,0.284919,0.209071
119,20,1759.75,20,1759.75,4,2,10,184.776,0.194169,0.195876,0.1817,0.205912,0.222344,0.221138,0.284386,0.285218,0.209258
120,20,1759.75,20,1820.32,1,2,2,184.739,0.192548,0.194241,0.180177,0.204199,0.228834,0.218828,0.28145,0.292656,0.207066
121,20,1759.75,20,1765.58,2,1,5,184.702,0.192453,0.19462,0.180082,0.204104,0.228741,0.219242,0.282018,0.291288,0.207452
122,20,1759.75,20,1765.58,1,3,0,184.665,0.191676,0.193836,0.183365,0.203286,0.227837,0.21855,0.284247,0.290411,0.206792
123,20,1759.75,20,1774.46,3,3,2,184.628,0.19198,0.192537,0.183652,0.203614,0.228218,0.218548,0.284282,0.290449,0.206721
124,20,1759.75,20,1763.34,2,1,5,184.592,0.191978,0.192535,0.183646,0.203606,0.228235,0.218063,0.283688,0.289846,0.208402
125,20,1759.75,20,1763.34,2,3,0,184.555,0.191226,0.191781,0.186818,0.202814,0.227361,0.217404,0.285818,0.289011,0.207767
126,20,1759.75,20,1864.51,1,0,2,184.518,0.191457,0.192013,0.185811,0.203065,0.227655,0.217424,0.285884,0.289079,0.207614
127,20,1759.75,20,1848.32,1,2,5,184.481,0.191351,0.192434,0.185706,0.202959,0.22755,0.2187,0.285429,0.288621,0.20725
128,20,1759.75,20,1812.41,1,1,5,184.444,0.190658,0.195337,0.18503,0.20223,0.226745,0.218094,0.284678,0.290556,0.206672
129,20,1759.75,20,1812.41,1,3,0,184.407,0.189991,0.198128,0.184381,0.201529,0.225972,0.217441,0.286786,0.289727,0.206046
130,20,1759.75,20,1801.75,3,2,5,184.37,0.190357,0.196562,0.184733,0.201923,0.226426,0.217442,0.286828,0.28977,0.20596
131,20,1759.75,20,1857.32,1,2,2,184.333,0.189736,0.195923,0.184127,0.204507,0.225707,0.216842,0.286076,0.291695,0.205387
132,20,1759.75,20,1857.32,4,1,2,184.296,0.189683,0.196124,0.184073,0.204457,0.225663,0.21726,0.286667,0.290297,0.205777
133,20,1759.75,20,1894.99,1,1,2,184.26,0.189925,0.196378,0.184305,0.204726,0.224666,0.217628,0.285423,0.29083,0.206119
134,20,1759.75,20,1894.99,3,0,0,184.223,0.189883,0.196533,0.184261,0.204688,0.224635,0.217976,0.284243,0.291338,0.206443
135,20,1759.75,20,1872.16,3,0,5,184.186,0.190334,0.197003,0.184697,0.202778,0.225188,0.217448,0.284446,0.291549,0.206557
136,20,1759.75,20,1855.06,3,0,5,184.149,0.189726,0.196377,0.184104,0.205306,0.224487,0.221527,0.282974,0.290044,0.205456
137,20,1759.75,20,1835.99,3,1,5,184.112,0.189143,0.195777,0.183535,0.207731,0.223815,0.225455,0.281557,0.288595,0.204394
138,20,1759.75,20,1913.81,1,2,2,184.075,0.188583,0.1952,0.182989,0.210057,0.223172,0.224775,0.283697,0.28776,0.203768
139,20,1759.75,20,1913.81,0,0,2,184.039,0.188542,0.195346,0.182946,0.210023,0.223142,0.225203,0.28427,0.286381,0.204146
140,20,1759.75,20,1913.81,4,1,2,184.002,0.188945,0.195245,0.182846,0.209922,0.223042,0.226109,0.28395,0.286059,0.203882
141,20,1759.75,20,1883.7,4,2,5,183.965,0.189182,0.195493,0.183072,0.210196,0.222057,0.226507,0.282667,0.286596,0.20423
142,20,1759.75,20,1823.11,2,0,5,183.928,0.188738,0.195038,0.182639,0.209714,0.22387,0.225887,0.281925,0.288526,0.203661
143,20,1759.75,20,1845.71,1,3,2,183.891,0.188022,0.194301,0.185709,0.208929,0.22304,0.229654,0.280565,0.287137,0.202645
144,20,1759.75,20,1834.82,2,1,5,183.855,0.187976,0.194468,0.185662,0.208889,0.223005,0.22915,0.279977,0.286539,0.204334
145,20,1759.75,20,1872.59,2,1,2,183.818,0.187286,0.193757,0.188618,0.208133,0.222205,0.228469,0.282095,0.28572,0.203716
146,20,1759.75,20,1832.69,2,1,5,183.781,0.187196,0.193667,0.188977,0.208044,0.222117,0.22886,0.280849,0.28624,0.204052
147,20,1759.75,20,1832.27,0,0,5,183.744,0.186535,0.192986,0.191808,0.20732,0.221351,0.22819,0.282931,0.285435,0.203444
148,20,1759.75,20,1859.34,0,3,2,183.708,0.189411,0.192299,0.191124,0.206589,0.220578,0.231803,0.281619,0.284112,0.202466
149,20,1759.75,20,1832.12,0,2,5,183.671,0.189681,0.19223,0.191055,0.206522,0.220513,0.23132,0.281059,0.283548,0.204073
150,20,1759.75,20,1802.91,0,0,5,183.634,0.192438,0.19157,0.190399,0.205821,0.219772,0.2307,0.280333,0.285453,0.203514
151,20,1759.75,20,1802.91,2,0,0,183.597,0.195088,0.190937,0.189768,0.205147,0.21906,0.23423,0.279058,0.284157,0.202555
152,20,1759.75,20,1796.37,3,2,5,183.561,0.195434,0.191273,0.188315,0.205516,0.219462,0.232768,0.279601,0.284713,0.202917
153,20,1759.75,20,1792.61,0,2,5,183.524,0.194881,0.190731,0.187779,0.207755,0.218854,0.232148,0.278882,0.286607,0.202363
154,20,1759.75,20,1772.37,3,2,5,183.487,0.197427,0.190122,0.187179,0.207101,0.218171,0.231531,0.278166,0.288491,0.201811
155,20,1759.75,20,1772.37,4,2,2,183.451,0.196893,0.189605,0.186668,0.209242,0.217592,0.230917,0.277454,0.290366,0.201262
156,20,1759.75,20,1772.37,4,1,2,183.414,0.197142,0.18984,0.186899,0.209512,0.216607,0.231394,0.278053,0.288889,0.201664
157,20,1759.75,20,1767.96,0,0,5,183.377,0.197387,0.190073,0.187126,0.20978,0.215634,0.231725,0.277004,0.289333,0.201938
158,20,1759.75,20,1805.41,1,3,2,183.34,0.19976,0.189506,0.186566,0.209164,0.215004,0.235317,0.275718,0.287996,0.200969
159,20,1759.75,20,1789.84,0,1,5,183.304,0.199738,0.189589,0.186539,0.209146,0.214988,0.234797,0.275131,0.287389,0.202683
160,20,1759.75,20,1770.56,4,2,5,183.267,0.202015,0.189044,0.186002,0.208555,0.214384,0.234063,0.277384,0.286519,0.202034
161,20,1759.75,20,1770.56,1,1,0,183.23,0.201559,0.188611,0.185575,0.208088,0.216167,0.233447,0.276678,0.288388,0.201487
162,20,1759.75,20,1924.54,1,1,2,183.194,0.201934,0.187099,0.185912,0.208478,0.216577,0.234473,0.273482,0.289686,0.202358
163,20,1759.75,20,1882.48,3,2,5,183.157,0.201879,0.187315,0.185854,0.208425,0.216526,0.234749,0.272611,0.290058,0.202582
164,20,1759.75,20,1918.48,1,2,2,183.121,0.20136,0.186825,0.185368,0.210471,0.215976,0.23413,0.271912,0.291926,0.202032
165,20,1759.75,20,1877.52,3,1,5,183.084,0.201308,0.18703,0.185313,0.210421,0.215928,0.234628,0.27251,0.290416,0.202447
166,20,1759.75,20,1864.58,0,2,5,183.047,0.20081,0.186561,0.184847,0.212381,0.215401,0.233841,0.274933,0.289473,0.201753
167,20,1759.75,20,1864.58,0,2,0,183.011,0.203058,0.186029,0.18432,0.21179,0.214803,0.233225,0.27423,0.291338,0.201207
168,20,1759.75,20,1837.05,2,1,5,182.974,0.200813,0.186547,0.184831,0.212393,0.215416,0.234456,0.2757,0.28759,0.202254
169,20,1759.75,20,1791.71,3,3,5,182.938,0.200137,0.185912,0.187568,0.211684,0.214699,0.233724,0.277948,0.286721,0.201607
170,20,1759.75,20,1769.78,2,1,5,182.901,0.199663,0.185465,0.187117,0.213558,0.214198,0.232448,0.276455,0.285185,0.205913
